 	Syn_Sim	Syn_real	LR_Sim	LR_real
4.77	0.092842271	0.091422228	0.085563437	0.083482638
4.8	0.092528817	0.091209249	0.085274557	0.083296516
4.83	0.092218068	0.090993797	0.084988171	0.083107919
4.85	0.092012313	0.09077549	0.084798547	0.082916353
4.88	0.091705659	0.090553949	0.084515935	0.082721323
4.91	0.091401214	0.090328792	0.084235359	0.082522334
4.94	0.091098791	0.090099639	0.083956646	0.08231889
4.97	0.090798205	0.08986611	0.083679625	0.082110497
4.99	0.090598741	0.089627824	0.0834958	0.081896659
5.02	0.090300801	0.089384399	0.083221218	0.081676881
5.05	0.090004199	0.089135457	0.08294787	0.081450669
5.08	0.08970875	0.088880616	0.082675584	0.081217527
5.1	0.089512332	0.088619495	0.082494566	0.080976959
5.13	0.08921839	0.088351714	0.082223669	0.080728472
5.16	0.088925104	0.088075822	0.081953376	0.080471728
5.19	0.088632287	0.087790836	0.081683516	0.080207325
5.22	0.088339754	0.087497267	0.081413917	0.079935733
5.24	0.088144796	0.087195625	0.081234244	0.079657361
5.27	0.08785232	0.086886422	0.080964698	0.07937262
5.3	0.08755963	0.08657017	0.080694955	0.079081918
5.33	0.087266539	0.08624738	0.080424843	0.078785667
5.36	0.086972862	0.085918564	0.08015419	0.078484275
5.38	0.086776659	0.085584233	0.079973369	0.078178152
5.41	0.08648159	0.085244898	0.079701434	0.077867708
5.44	0.086185438	0.084901071	0.079428499	0.077553353
5.47	0.085888015	0.084553264	0.079154395	0.077235496
5.5	0.085588805	0.084201988	0.078878643	0.076914547
5.52	0.085387633	0.083847755	0.078693243	0.076590915
5.55	0.085083437	0.083491075	0.078412895	0.076265012
5.58	0.084776618	0.083132461	0.078130132	0.075937245
5.61	0.084467522	0.082772424	0.077845269	0.075608025
5.63	0.084260363	0.082411475	0.07765435	0.075277762
5.66	0.083948234	0.082050126	0.077366693	0.074946865
5.69	0.083634745	0.081688888	0.077077781	0.074615744
5.72	0.083320238	0.081328273	0.076787931	0.074284809
5.75	0.083005058	0.080968792	0.076497461	0.073954469
5.77	0.082794733	0.080610958	0.076303626	0.073625134
5.8	0.082479194	0.08025528	0.076012825	0.073297214
5.83	0.082163898	0.079902271	0.075722248	0.072971119
5.86	0.081849188	0.079552442	0.075432212	0.072647258
5.89	0.081535409	0.079206305	0.075143033	0.072326041
5.91	0.08132691	0.078864371	0.074950881	0.072007878
5.94	0.081015446	0.078527152	0.074663835	0.071693178
5.97	0.08070583	0.078195159	0.074378493	0.071382351
6	0.080398404	0.077868903	0.074095169	0.071075807
6.03	0.080093513	0.077548896	0.073814181	0.070773955
6.05	0.07989183	0.077230619	0.073628311	0.070475103
6.08	0.079591928	0.076905552	0.07335192	0.070169596
6.11	0.079295476	0.076574024	0.073078711	0.069856646
6.14	0.07900282	0.076236545	0.072808999	0.069536801
6.16	0.078809995	0.075893623	0.072631291	0.069210607
6.19	0.078524428	0.075545768	0.072368113	0.068878611
6.22	0.078243573	0.075193489	0.072109277	0.06854136
6.25	0.077967773	0.074837296	0.0718551	0.068199399
6.28	0.077697373	0.074477697	0.071605899	0.067853276
6.3	0.077520181	0.074115203	0.071442599	0.067503538
6.33	0.077257428	0.073750322	0.071200446	0.06715073
6.36	0.076997856	0.073383563	0.070961224	0.0667954
6.39	0.076741338	0.073015436	0.070724817	0.066438095
6.42	0.076487751	0.07264645	0.070491111	0.066079361
6.44	0.076320259	0.072277115	0.070336751	0.065719744
6.47	0.076071277	0.071907939	0.070107289	0.065359791
6.5	0.075824892	0.071539432	0.069880221	0.065000049
6.53	0.075580978	0.071172104	0.06965543	0.064641065
6.56	0.075339411	0.070806463	0.069432801	0.064283385
6.58	0.075179607	0.070443018	0.069285526	0.063927556
6.61	0.074941672	0.07008228	0.069066245	0.063574124
6.64	0.074705749	0.069724757	0.068848818	0.063223637
6.67	0.074471713	0.069370958	0.068633131	0.06287664
6.69	0.074316676	0.069021393	0.068490249	0.062533681
6.72	0.074085508	0.068676572	0.068277204	0.062195306
6.75	0.073855894	0.068337003	0.068065592	0.061862061
6.78	0.073627708	0.068003195	0.067855296	0.061534494
6.81	0.073400825	0.067675659	0.067646201	0.061213151
6.83	0.073250233	0.067354902	0.067507414	0.060898578
6.86	0.073025244	0.067041435	0.067300065	0.060591323
6.89	0.072801226	0.066735767	0.06709361	0.060291932
6.92	0.072578052	0.066438407	0.066887933	0.060000952
6.95	0.072355597	0.066149865	0.066682918	0.059718928
6.97	0.072207632	0.065870648	0.066546554	0.059446409
7	0.071986098	0.065601268	0.066342388	0.05918394
7.03	0.07176495	0.065340637	0.066138578	0.058931109
7.06	0.071544063	0.065086421	0.065935009	0.058684937
7.09	0.071323311	0.064838322	0.065731564	0.058444908
7.11	0.071176157	0.064596063	0.065595946	0.058210732
7.14	0.070955931	0.064359366	0.065392986	0.057982123
7.17	0.070738496	0.064127954	0.065192598	0.057758793
7.2	0.070523984	0.063901551	0.064994904	0.057540452
7.22	0.070382533	0.063679879	0.064864542	0.057326814
7.25	0.070172591	0.063462662	0.06467106	0.05711759
7.28	0.069965212	0.063249622	0.064479939	0.056912491
7.31	0.069760259	0.063040482	0.064291054	0.056711231
7.34	0.069557596	0.062834965	0.064104281	0.056513521
7.36	0.069423694	0.062632794	0.063980877	0.056319073
7.39	0.069224549	0.062433692	0.063797345	0.056127599
7.42	0.069027335	0.062237381	0.063615592	0.055938811
7.45	0.068831914	0.062043586	0.063435492	0.055752421
7.48	0.068638153	0.061852028	0.063256922	0.05556814
7.5	0.068509834	0.061662431	0.063138663	0.055385682
7.53	0.068318537	0.061474517	0.062962364	0.055204757
7.56	0.068128539	0.06128801	0.062787262	0.055025078
7.59	0.067939703	0.061102632	0.06261323	0.054846357
